Location,Tags,Wikipedia,City,Hot Score,Comment,Rating,Link,Activity
Step Garden,Gardens,At a distance of 1 km from Saputara Bus Station Step Garden is a laid out garden located in Saputara only hill station of Gujarat Situated on the Table Land Road it is one of the best maintained gardens in Saputara and among the peaceful places to visit in SaputaraResembles a terrace garden Step Garden is uniquely constructed on steps that run down a small hillock There are about 2025 steps that have flower beds featuring a variety of flowers like roses carnations marigold and much more These flowers in various sizes and colours make the garden look wonderful Moreover these steps are decorated with different varieties of foliage and stunning wooden workThe step garden is a unique initiative that aims to protect and conserve plants in given restricted spaces In order to provide a comfortable accommodation to visitors coming here the garden has many forest huts For the entertainment of children the Step Garden opened playing areas within its premises From the top point of the garden one can get a bird eye view of Saputara townA visit to the garden is more enjoyable during the months from March to April  July to August when the flowers are in full bloomTimings 8 AM  12 PM  3 PM  7 PM Closed on TuesdayEntry Fee Rs 10 per person,Saputara,1.5,"""The park is adjacent to the sky garden with a great view of Ocean Avenue. The shoe house is a great attraction for the kids. We had a great time. Nice park, great view of the bay, popular with locals. Nice to get out of town and get some fresh air. For children, it is a big pair of shoes.""",4//5,https://us.trip.com/travel-guide/attraction/saputara/step-garden-23497106/,['']
Panshet Dam,Water Conservancy Projects,Panshet Dam also called Tanajisagar Dam is a dam on the Ambi river a tributary of the Mutha River about 50km 31mi southwest of the city of Pune in western IndiaThe dam was constructed in late 1950s for irrigation and along with three other dams nearby Varasgaon Temghar and Khadakwasla it supplies drinking water to PunePanshet Dam burst in its first year of storing water on 12 July 1961 when the dam wall burst because of the total absence of reinforced cement concrete RCC strengthening in the conduit through the earthen dam Plain unreinforced concrete blocks were used instead due to a shortage of steel1 causing massive flooding in Pune An estimated 1000 people died from the resulting flood23It is about 50km 31mi from Pune and about 180km 110mi from Mumbai,Pune,1.5,"""The park is located in Torado in Nagpur, named after India's first prime minister. There is a good jungle safari that can be booked in advance with forest accommodation, but in the summer, there will be a lot of mosquitoes here, and the bath is all cold water.""",3//5,https://us.trip.com/travel-guide/attraction/pune/panshet-dam-58270363/,['']
Baneshwar Temple,Other Places of Worship,Baneshwar is a temple of Shiva located in the village of Narasapur about 36 km southwest of Pune It is a pleasant and calm place amidst a jungle It was recently discovered and hence declared as a small bird sanctuary hosting a decent amount of rare birds with many Malabar grey hornbills seen,Pune,1.6,"""The place and it's campus always gives more please to me. I often visit this place when I need time for myself or if I'm frustrated. This is the one of the best place to find peace""",5//5,https://us.trip.com/travel-guide/attraction/pune/baneshwar-temple-56017698/,['']
Shooting Point,Other Places of Worship,From Bhushi Dam it was a long treacherous 7 kms uphill drive past the iconic INS Shivaji and a few pothole roads to SHOOTING POINTEncountered thick fog which made driving conditions next to impossible for a twowheelerVisibility was reduced to barely 25 meters and adding to the visibility danger was a few potholes on the narrow mountain highway Finally at 1100 hrs in dense fog was at SHOOTING POINT in Khandala  The intensity of the fog can be imagined through this photograph reminding me of the Hound of the Baskerviles setting although this was not Dartmoor in England but Monsoon Lonavala barely 90 kms from concrete jungle MumbaiOn a bright day this locale offers a view of the Rajmachi fort and the flowering valley belowNumerous films have been shot in this locale and hence its name SHOOTING POINT But today i could barely see 100 meters away and felt i was on a film shooting set of my favorite detective novel  Hound of the Baskervilles ,Pune,1.3,"""The place is full of busy locals and tourists, especially at night. Although it is crowded the place is well maintained. You will see couples sitting around the border wall, walkers and parents enjoy boat tours with their children. There are several restaurants and street vendors around to serve you.""",3.7//5,https://us.trip.com/travel-guide/attraction/pune/shooting-point-58305483/,['']
Ajanta Caves,UNESCO World Heritage - Cultural Sites,The Ajanta Caves are approximately thirty rockcut Buddhist cave monuments dating from the second century BCE to about 480 CE in the  Aurangabad District of Maharashtra state in India1note 1 The caves include paintings and rockcut sculptures described as among the finest surviving examples of ancient Indian art particularly expressive paintings that present emotions through gesture pose and form345They are universally regarded as masterpieces of Buddhist religious art The caves were built in two phases the first starting around the second century BCE and the second occurring from 400 to 650 CE according to older accounts or in a brief period of 460480 CE according to later scholarship6 The site is a protected monument in the care of the Archaeological Survey of India7 and since 1983 the Ajanta Caves have been a UNESCO World Heritage SiteThe Ajanta Caves constitute ancient monasteries Chaityas and worshiphalls Viharas of different Buddhist traditions carved into a 75metre 246ft wall of rock89 The caves also present paintings depicting the past lives 10 and rebirths of the Buddha pictorial tales from Aryasuras Jatakamala and rockcut sculptures of Buddhist deities81112 Textual records suggest that these caves served as a monsoon retreat for monks as well as a resting site for merchants and pilgrims in ancient India8 While vivid colours and mural wall painting were abundant in Indian history as evidenced by historical records Caves 16 17 1 and 2 of Ajanta form the largest corpus of surviving ancient Indian wallpainting13,Aurangabad,2.9,"""The Pune area is a good fortress and a good venue for ordinary hikers and climbers. Tickets from Swalmen to Nas Arapur are twenty rupees, and local taxis need about sixty rupees, and if there is a tent, you can live on top of two temples or simply set up a tent in a large area close to the fortress.""",4//5,https://us.trip.com/travel-guide/attraction/aurangabad/ajanta-caves-80531/,"[""It is located in the hills of Ajanta, northwest of the Deccan Plateau, in Maharashtra. It used to be a place for Buddhist disciples to cultivate themselves and study scriptures during the rainy season. Until 1819, when it was accidentally discovered by British hunters, the style of the Ajanta Grottoes became famous again in the world. The architectural forms of the Ajanta Grottoes can be divided into two types: one is Zhiti Cave, which means Buddha Hall, which is a pagoda temple where relics are stored; , assembly, monastic place. The top of the Buddhist hall is arched and the plane is horseshoe-shaped. Dozens of stone pillars are arranged in the hall, which divides the hall into an inner hall and a central hall. The monk's room is square, with stone pillars in front of the cave, a corridor in front, a meeting place in the middle, and monks' houses surrounded on three sides. There are 29 caves here. Caves 9, 10, 19, 26, and 29 are Buddhist temples, and the rest are monks' rooms. There are a lot of carvings and murals in the Ajanta Grottoes. Carving is divided into two categories: statues and reliefs. The theme of the mural is to promote Buddhism. Beyond that, what is depicted in the frescoes is a living world.""]"
Appu Ghar,Theme Parks,Appu Ghar was an amusement park operated by International Amusement Limited located in Pragati Maidan New Delhi India2 It was spread over 155 acres 63000m2 of land and was Indias first amusement park3 It was established in 1984 to commemorate the 1982 Asian Games and it was inaugurated on 19 November 1984 by thenPrime Minister of India Rajiv Gandhi4 The park closed down in 2008 after a legal ruling allocating the land for government useAppu Ghar was named after its mascot an elephant named Appu while Ghar means house in Hindi Appu was a live elephant mascot that became the star of the 1982 Asian Games held in New Delhi2ThenIndian Prime Minister Indira Gandhi assigned the task to create Indias first amusement park to International Amusement Ltd IAL headed by Narinder Malik a Swedenbased NRI and Gian Vijeshwar2 another Swedenbased NRI with an aim to provide free access to underprivileged children4 It was inaugurated on 19 November 1984 by Rajiv Gandhi then Indian Prime Minister after his mother Indira Gandhis assassination on the occasion of her birthday this was his first public appearance5 Appu Ghar quickly became a crowd puller for the residents of the Indian capital as well as those of neighbouring towns,Pune,1.2,"""The river has many twists and turns, the river is quite rapid, some people are drifting here.""",4//5,https://us.trip.com/travel-guide/attraction/pune/appu-ghar-56031832/,['']
Omkareshwar Parikrama,Other Places of Worship,At a distance of 1 km from Omkareshwar Bus Stand Parikrama Path is a circumambulatory marg around Omkar Hil in the holy town of Omkareshwar It is one of the top things to do in OmkareshwarThe Omkar Parikrama Path starts from the Ghat on Mandhata Island According to Hindu mythology a walk around a positive source of energy provides one with positive energy too It is considered to be a sacred thing and what better way to do it than a parikrama across the entire island The route stretches about 8 km and takes around 3 hours to complete and is not very difficult The whole area is also very picturesque as this stretch is along the islandVisitors to Omkareshwar can do the parikrama of Omkareshwar by going around the hill However there are ups and downs in the form of stairs and one can see several ashrams and temples en route The route includes the confluence of the two rivers,India Â· Omkareshwar,1.2,"""The Royal Enclave is a place of continuous mountain ranges, where the basin is quite resourced, and many things are khaki-yellow architecture.""",4//5,https://us.trip.com/travel-guide/attraction/omkareshwar/omkareshwar-parikrama-58289364/,['']
D Y Patil Sports Stadium,Stadiums,The DY Patil Stadium also known as DY Patil Sports Stadium is a multipurpose sports arena in Navi Mumbai Maharashtra 4It is owned by Marathi politician Dnyandeo Yashwantrao Patil  It is based in the DY Patil Sports Academy in Nerul Primarily a cricket stadium it is however sometimes used for football music concerts and other eventsIt was inaugurated on 4 March 2008 was used as the home ground for Indian Premier League IPL franchise Mumbai Indians MI It has hosted the inuagral seasons final in 2008 and 2010 season final5 In 2022 season the arena hosted number of games6The stadium has also hosted football matches during the 2017 FIFA U17 World Cup 2022 FIFA U17 Womens World Cup and 2022 AFC Womens Asian CupIn 2014 it was announced that the stadium will be the home ground of the Indian Super League club Mumbai City FC It has also hosted the Final of Hero ISL 2014 between Atltico de Kolkata and Kerala Blasters FCThe capacity of 55000 makes it the ninthlargest cricket stadium in India The stadium makes use of bucket seats and cantilever roofs that eliminate the need for columns This provides the spectators with an unobstructed view of the match from any place within the stands On the other hand the stadium has a 120person capacity airconditioned media center The upper level of the viewing galleries has 60 private corporate boxes7This stadium also holds an interschool cricket match for DY Patil International school every yearThe arena is hosting games of the Womens Premier League WPL since 4 March 2023 It has hosted the opening gameceremony and scheduled to host final match,Thane,1.8,"""The scenery here is very special, the natural beauty of the original ecology, not bad! The mood of coming here is getting better!""",3//5,https://us.trip.com/travel-guide/attraction/thane/d-y-patil-sports-stadium-23031697/,['']
Marine Drive,Seashores,Marine Drive is a 3 kilometrelong Promenade along the Netaji Subhash Chandra Bose Road in Mumbai India The road and promenade were constructed by Pallonji Mistry It is a Cshaped sixlane concrete road along the coast of a natural bay At the northern end of Marine Drive is Girgaon Chowpatty and the adjacent road along links Nariman Point at southern tip to Babulnath and Malabar Hill at northern tip Marine Drive is situated on reclaimed land facing westsouthwest Marine Drive is also known as the Queens Necklace because when viewed at night from an elevated point anywhere along the drive the street lights resemble a string of pearls in a necklaceMarine Drive from Malabar HillsThe official name for this road though rarely used is Netaji Subhash Chandra Bose Road The promenade is lined with palm trees At the northern end of Marine Drive is Chowpatty Beach This is a popular beach famed for its Bhel Puri local fast food Many restaurants also line this stretch of the road Further down this road lies Walkeshwar a wealthy neighborhood of the city also home to the Governor of Maharashtra Most of the buildings erected by wealthy Parsis were constructed in an art deco style which was popular in the 1920s and 1930s Among the earliest art deco buildings on Marine Drive were the Kapur Mahal Zaver Mahal and Keval Mahal built between 1937 and 1939 for a total cost of 1 million rupees1Real estate prices along the Esplanade are high Many hotels dot the drive most prominent among them being the 5star Oberoi formerly the Oberoi Hilton Tower however reverted to the original name as of early 2008 The Intercontinental Hotel Marine Plaza Sea Green Hotel and a few other smaller hotels Marine Drive is the preferred connecting road between the central business district located at Nariman Point and the rest of the cityMany Sports Clubs some of cricket stadium and club grounds are situated along the stretch of Marine Drive including membersonly clubs like the Cricket Club of India CCI adjoining the Brabourne Stadium Hindu Gymkhana Ground and Garware Club House adjacent to the famous Wankhede Stadium as well as others like the Mumbai Police Gymkhana Hindu Gymkhana Parsi Gymkhana and Islam Gymkhana,Mumbai,4.8,"""The seaside is still spectacular, and the famous ""gate of India"" in Mumbai is the Indian Ocean. However, India is really dirty and garbage can be seen everywhere on the ground. The sea water is not blue at all, like the Yellow River.""",4.3//5,https://us.trip.com/travel-guide/attraction/mumbai/marine-drive-80529/,"['The coastal road starts from Malaba Mountain in the north and ends at Nariman in the south. It is shaped like a crescent moon and is embedded in the beautiful beach. It is a popular place for walking and leisure in Mumbai. On both sides of the avenue are completely different landscapes: on one side is a patchwork of buildings up to 20 or 30 floors, sparkling. The area around the avenue is a bustling commercial area, with many shops, restaurants, and stalls and hawkers everywhere. The seaside is a date spot for Mumbai couples, and at sunset it is a good place to watch the sunset. When night falls and the lanterns are first turned on, the quiet and beautiful seaside avenue during the day is another style, and the bright neon forms a \\']"
Mhaismal,Observation Decks,Mhaismal is a hill station located in the Aurangabad District of Maharashtra in India Mhaismal is situated at an altitude of 1067 meters is about 12 kilometers from Khuldabad and is about 40 Kilometers from Aurangabad City On the way there are Ellora Caves Grishneshwar Temple and Devgiri FortMhaismal attracts visitors during monsoons when it is covered in greenery,Aurangabad,1.0,"""The sixth day of India's trip - Elora Grottoes Group February 27, 2019 The temperature of 32 degrees Olangabad is an ancient city on the Indian Degan Plateau, about 350 kilometers east of Mumbai, and is a must-have place for the ancient ""Silk Road"". Orangabad is a tourist city because of its castles, grottoes and a building known as the â€œLittle Taj Mahal.â€_x009d_ We came from Mumbai, in fact, we came to two grottoes. The most prestigious attraction in the local area is two grottoes. Yesterday, we saw the Aveda grottoes 106 kilometers away from the city of Olangabad. Today, the itinerary is the Elora grottoes. The Elora grottoes have Buddhist grottoes. There are 12 Hindu grottoes, 17 Hindu grottoes, and 5 Jain grottoes. They show the perfect view of the unity of nature and man. They are breathtaking in the history of architecture and art. The Elora Grottoes are located near the city of Olangabad in Maharashtra, India. High and steep basalt walls, 34 cave temples were carved out, one by one, stretching more than 2,000 meters. These well-preserved and orderly relics, dating back to 600 to 1,000 AD, vividly reproduce ancient Indian civilization. In 1983, the Elora Grottoes were listed as a UNESCO World Heritage Site. The essence of Elora is the 16th cave facing the entrance, supposedly the peak of Indian grotto art - a temple chiselled from the mountain wall. I stayed here for almost two hours, from the whole to the details, this place should be the only place in the world. There are paths to go uphill behind the grottoes, overlook the entire temple, chiseled a temple from the whole stone, even imagination is a difficult thing. At first glance, Grottoes 16 immediately remembered the Cross Church in Laribera, Ethiopia. The architectural style is different and the same work is carved from the top to the bottom. Different teachings, Grottoes 16 are more refined and large in scale than Laribera Cross Church. Very shocking! The name of the ancient civilization is well-deserved.""",5//5,https://us.trip.com/travel-guide/attraction/aurangabad/mhaismal-62009001/,['']
Hanging Gardens,Gardens,The Hanging Gardens of Babylon were one of the Seven Wonders of the Ancient World listed by Hellenic culture They were described as a remarkable feat of engineering with an ascending series of tiered gardens containing a wide variety of trees shrubs and vines resembling a large green mountain constructed of mud bricks It was said to have been built in the ancient city of Babylon near presentday Hillah Babil province in Iraq The Hanging Gardens name is derived from the Greek word x0081 kremasts litoverhanging which has a broader meaning than the modern English word hanging and refers to trees being planted on a raised structure such as a terrace123According to one legend the Hanging Gardens were built alongside a grand palace known as The Marvel of Mankind by the NeoBabylonian King Nebuchadnezzar II who ruled between 605 and 562 BC for his Median wife Queen Amytis because she missed the green hills and valleys of her homeland This was attested to by the Babylonian priest Berossus writing in about 290 BC a description that was later quoted by Josephus The construction of the Hanging Gardens has also been attributed to the legendary queen Semiramis4 and they have been called the Hanging Gardens of Semiramis as an alternative name5The Hanging Gardens are the only one of the Seven Wonders for which the location has not been definitively established6 There are no extant Babylonian texts that mention the gardens and no definitive archaeological evidence has been found in Babylon78 Three theories have been suggested to account for this first that they were purely mythical and the descriptions found in ancient Greek and Roman writings including those of Strabo Diodorus Siculus and Quintus Curtius Rufus represented a romantic ideal of an eastern garden9 second that they existed in Babylon but were destroyed sometime around the first century AD104 and third that the legend refers to a welldocumented garden that the Assyrian King Sennacherib 704681 BC built in his capital city of Nineveh on the River Tigris near the modern city of Mosul111,Mumbai,5.0,"""The sky garden, also known as the Hein Garden, is located on the top of the Malaba mountain in the rich area. Because the garden is located above a reservoir, it is called the sky garden. It is not because the garden is beautiful, but because the locals who come here are infected, they are simply happy.""",4.2//5,https://us.trip.com/travel-guide/attraction/mumbai/hanging-gardens-99172/,"['The Hanging Garden, also known as the Hein Garden, is located on the top of Malabar Mountain. The park is lined with green trees, and the shrubs trimmed into various animal shapes are very vivid and lovely, and there is a unique boot-shaped building.']"
Manikdoh Leopard Rescue Centre,Zoos,In 2007 Wildlife SOS in collaboration with the Maharashtra Forest Department established the Manikdoh Leopard Rescue Centre in Junnar near Pune The centre is home to over 30 leopards and provides temporary or longterm care for leopards injured by villagers or trapped in conflict situationsThese mananimal conflict scenarios with leopards are complex ones caused by human encroachment upon wild leopards natural habitat Leopards struggle to find a foothold in the vanishing forest and are pushed to take cover in sugarcane farms relying on village livestock to survive This has caused indiscriminate trapping and killing of leopards perceived to be a threat The centre also houses several orphaned leopard cubs who cannot be released back into the wild as they are severely imprinted on humansOur primary goal is to contribute to the conservation of the imperilled Indian leopard population on one of the most heavily humanpopulated and dominated landscapes in the world We continue to conduct regular training programmes detailing capacity building for forest department staff and for vets in outlining the use of gear We also provide education to local farming communities thereby increasing their awareness and tolerance for coexistence with these beautiful catsWildlife SOS manages the centre in collaboration with Maharashtra Forest Department with support from Humane Society International Australia and Terraet Faune Switzerland,Pune,3.1,"""The stone fountain dates back to the 1860s and is a vibrant fantasy created by the Roman flower goddess Flora in the Victorian era. It is made of a charming yellow stone and features a variety of mythological heroes and animals. At the time of our visit, the sidewalks around it were being repaired and the water was cut off. It could be more attractive once the repair is done.""",4.4//5,https://us.trip.com/travel-guide/attraction/pune/manikdoh-leopard-rescue-centre-22878576/,"[""WildlifeSOS is an organization specializing in the treatment of wild animals. The rescued animals can live a stable and comfortable life here, and the staff are very friendly. Ordinary people can also apply to experience volunteer work here. The organization was founded in 1995 by a small group of people to protect India's wealth of natural heritage, forests and wildlife. Today, the organization has grown to protect Indian wildlife, protect habitats, study biodiversity, conduct research and create sustainable alternatives to the livelihoods of those who depend on wildlife for their livelihoods. It is responsible for stopping human cruelty to animals, rescuing endangered wildlife, and calling on the public to protect habitats. It also emphasizes the value of research in the field of veterinary medicine, and conducts research on animal behavior, in line with partner institutions of national and international organizations and the field of reproductive physiology.""]"
Diamond Water Parks,Water Parks,Diamond Water Park is one of the best water parks in Pune where one can soak themselves to the bone and have a lot of fun,Pune,1.3,"""The store here is hospitable, affordable, worth a visit""",3//5,https://us.trip.com/travel-guide/attraction/pune/diamond-water-parks-58287101/,['']
Darna Dam,Water Conservancy Projects,Darna Dam is a gravity dam on Darna river near Igatpuri Nashik district in the state of Maharashtra in IndiaThe height of the dam above lowest foundation is 28m 92ft while the length is 1634m 5361ft The volume content is 0018861km3 0004525cumi and gross storage capacity is 0226870km3 0054429cumi2,Mumbai,1.0,"""The synagogue looks simple and artistic.""",4//5,https://us.trip.com/travel-guide/attraction/mumbai/darna-dam-58297970/,['']
Sundarnarayan Temple,Temples,The Sundarnarayan Temple is built by Gangadhar Yashwant Chandrachud in 1756 The presiding deity of the temple is Lord Vishnu as Sundarnarayan According to legend once the area was a place haunted by an evil demon named Jalandar who was an ardent devotee of Lord Shiva Even though the demon was wild and practiced evil deeds he had a pious and virtuous wife Vrinda Devi Lord Shiva was highly impressed by his devotion and he blessed the demon with a boon of immortality This boon made Jalandar to create destruction in the area The Gods realized the importance to kill the demon to save the mankind The Gods approached Lord Vishnu to help them in this noble cause Lord Vishnu understood that the chastity and piousness of Jalandars wife is acting as a shield to his life Lord Vishnu adopted the look of Jalandar and started living with his wife He challenged the chastity of the women and killed Jalandar When Jalandars wife Devi Vrinda came to know this she cursed Lord Vishnu to turn black and ugly The curse of the lady made him dark and he had to take a holy dip in River Godavari to regain his original form After regaining his original form Lord Vishnu was called Sundarnarayan The temple presents imposing architecture especially the vaulted niche which strikes a chord with the Mughal sculpture The eastfacing temple has three porches with balcony lobed arches and globular domes The main deity Lord Vishnu flanked by Lakshmi and Saraswati is placed in the sanctum There are small carvings of Hanuman Narayana and Indira on the walls The most remarkable thing about this temple is the angle at which it is built The sun rays of rising sun first fall directly on the idols on March 21st every year Thousands of devotees visit this temple on this day to witness this holy event,Nashik,1.1,"""The taste is local and the outsider is not necessarily used to it.""",3//5,https://us.trip.com/travel-guide/attraction/nashik/sundarnarayan-temple-32936544/,['']
Saputara Lake,Lakes,Saputara Lake is a man made lake situated in the Dang District Gujarat India The Saputara Lake is located at a mere distance of 1 kilometer from the main city hill station Saputara town is part of Dang district in Gujarat It is a tourist destination12Saputara has mythological importance as it is believed that Lord Rama spent 11 years of his exile here The name Saputara literally means Abode of Serpents3The lake is manmade and is quite popular for activities like boating There are several childrens parks also in the locality and several other play grounds for the entertainment of the tourists There are several boating clubs located near the lake The season after the monsoon is considered to be the best for visiting the lake2Saputara Lake is encompassed by undulating hills and lush greenery which make it a picturesque place to relax and rejoice It also offers a distant panorama of the majestic Sahyadri Hills4 The sunrise and sunset points of this lake provide stunning vistas during dawn and dusk For the locals and tourists of Saputara this spot is considered to be a popular picnic get away This water body in Saputara is surrounded with lush green environs and beauty The time after a monsoon is the best to visit2,Saputara,2.1,"""The temple is beautiful and once you enter it you will feel very cool and relaxed. The temple is surrounded by beautiful gardens and lakes of lotus flowers. There is also a museum behind the temple for celebrities who want to learn about the historical importance of the regions in Pune.""",5//5,https://us.trip.com/travel-guide/attraction/saputara/saputara-lake-23497105/,['']
ISKCON NVCC Pune,Temples,ISKCON New Vedic Cultural Center NVCC Sri Sri Radha Vrindavanchandra temple or ISKCON Pune is a Gaudiya Vaishnavism temple situated in Pune India The temple is dedicated to Hindu god Radha Krishna and was opened in 2013 It is the largest temple in the city of Pune,Pune,2.4,"""The temple is built inside the nature reserve, and we donâ€™t see any wildlife living except for the monkeys and different species of birds on the Ganges, but this reserve is famous for its giant Indian squirrels. Leopards, hyenas, lizards and snakes all appear deep in the jungle, and the best time is July to February after the rainy season, when the forest becomes lush and many waterfalls can be seen on the surrounding hills.""",3.5//5,https://us.trip.com/travel-guide/attraction/pune/iskcon-nvcc-pune-23485929/,"['ISKCONNVCCTemple, the world-renowned Krishna temple ISKCON also preserves its heritage here, with large temple complexes and intricate designs throughout the temple walls.']"
Kanheri Caves,Caves,The Kanheri Caves Kx0081nherguhx0081 kax0090neix0090 uax0090 are a group of caves and rockcut monuments cut into a massive basalt outcrop in the forests of the Sanjay Gandhi National Park on the former island of Salsette in the western outskirts of Mumbai India They contain Buddhist sculptures and relief carvings paintings and inscriptions dating from the 1st century CE1 to the 10th century CE Kanheri comes from the Sanskrit Krishnagiri which means black mountain2The site is on a hillside and is accessible via rockcut steps The cave complex comprises one hundred and nine caves The oldest are relatively plain and unadorned in contrast to later caves on the site and the highly embellished Elephanta Caves of Mumbai Each cave has a stone plinth that functioned as a bed A congregation hall with huge stone pillars contains a stupa a Buddhist Pagoda Rockcut channels above the caves fed rainwater into cisterns which provided the complex with water3 Once the caves were converted to permanent monasteries their walls were carved with intricate reliefs of Buddha and the Bodhisattvas Kanheri caves were built in the 1st century and had become an important Buddhist settlement on the Konkan coast by the 3rd century CE4Most of the caves were Buddhist viharas meant for living studying and meditating The larger caves which functioned as chaityas or halls for congregational worship are lined with intricately carved Buddhist sculptures reliefs pillars and rockcut stupas Avalokiteshwara is the most distinctive figure The large number of viharas demonstrates there was a well organized establishment of Buddhist monks This establishment was also connected with many trade centers such as the ports of Sopara Kalyan Nasik Paithan and Ujjain Kanheri was a University center by the time the area was under the rule of the Maurayan and Kushan empires2 In the late 10th century the Buddhist teacher Atisha 9801054 came to the Krishnagiri Vihara to study Buddhist meditation under Rahulagupta5,Mumbai,2.4,"""The temple is located in the less crowded Condellava area near Pune, and the New Veda Cultural Center is a temple dedicated to the goddess Kristina and his goddess Rada. When entering the prayer hall, you will be shocked by the statues of the god Kristina and Lada.""",3.5//5,https://us.trip.com/travel-guide/attraction/mumbai/kanheri-caves-58272725/,"['The Kanheri Grottoes are a group of Buddhist cave temples, with a total of 109 caves, of which the second and third caves are in good condition. The inner stupa and the statues of women near the entrance are well preserved.']"
Upvan Lake,Lakes,Upvan or Upavan Lake is located in Thane in the Indian state of Maharashtra1 It is known for hosting the Sanskruti Arts Festival2 Here one can also view thousands of Ganpati idols which are brought here for immersion on final day of Ganeshotsav It was founded and reconstructed by JK Singhania for water supply Singhania also constructed the lord Ganeshas temple at Upvan lake The lake is located near Gawand Baug Shivai Nagar Ganesh Nagar Vasant Vihar and Vartak nagar This is one of the recreational areas for people who live in Thane It is one of the biggest lakes in Thane surrounded by Yeoor Hills and lies in the PokhranII area One of the eco friendly lake of city Upvan Lake is regarded as Thanes lovers paradise3 Upvan lake forms a junction of the Pokhran I and Pokhran II roads Once the major source of water for the entire Thane city Upvan lake is now used primarily for recreation The official residence of the Mayor of Thane Municipal Corporation lies adjacent to the lake45Upvan was decorated during Sanskruti Arts Festival 2015 Over 50000 people visit the lake during the festival6Lit up for Sanskruti Arts Festival in 2015,Mumbai,1.7,"""The temple is located on a 600-meter mountain and is very well maintained by South Indians. Baalji is a loyal resident of South Indians and is very close to the train station. There are many other small temples in the temple, such as Vidia Gannili, Hanuman, Amakalu, Navagara Mandir and so on.""",3.5//5,https://us.trip.com/travel-guide/attraction/mumbai/upvan-lake-23488138/,['']
Bedse Caves,Caves,Bedse Caves also known as Bedsa Caves are a group of Buddhist rockcut monuments situated in Maval taluka Pune District Maharashtra India The history of the caves can be traced back to the Satavahana period1 in the 1st century BCE2 They are some 9 km from the Bhaja Caves Other caves in the area are Karla Caves Patan Buddhist Cave and Nasik CavesThere are two main caves The best known cave is the chaitya prayer hall  Cave 7 with a comparatively large stupa the other cave is the monastery or vihara Cave 11  They are marked by a profusion of decorative gavaksha or chaitya arch motifs3Cave 7 the chaitya hall is reached by a long narrow passage into the rock  The front verandah has four very elaborate columns with capitals of pairs of animals and riders of solemn grandeur4  Beside these the side walls are covered with lowrelief gavakshas and latticework representing architectural railings comparable to those in the same place at the slightly later chaitya in the Karla Caves  In contrast and unlike Karla the chaitya hall itself has little decoration with plain octagonal columns  The decorative ribs on the roof which in other chaityas are stone replicating wooden architecture were actual wood here and have been lost5,Pune,1.3,"""The temple is situated on a hill near Lake Futala, and there are mountain roads to drive directly to the temple. There are many statues inside, from Gannissa to Krishna to the god of the planets, and a statue of the Lord Vishnu, next to lush trees and lakes.""",3.5//5,https://us.trip.com/travel-guide/attraction/pune/bedse-caves-58298269/,['']
Karhateshwar Temple,Other Places of Worship,Kirateshwar Mahadev Temple Nepali    is a Hindu temple identified to be a Hindu pilgrimage site which is located at Legship West Sikkim India along the banks of River Rangeet1 which has many episodes of the Mahabharata attached to it The temple is also known as Kirateshwar Mahadev Thaan by the Kirati people or simply known as Shiv Mandir,Ratnagiri,1.0,"""The temple itself is being renovated and people are frolicking in the pool. However, the water is not clean, surrounded by many temples, basically dedicated to Shiva, the temple is not very big, walk to this place, you can see different parts of Mumbai, narrow cobblestone roads and local residents.""",3.5//5,https://us.trip.com/travel-guide/attraction/ratnagiri/karhateshwar-temple-62037704/,['']
MCGM Garden Oshiwara,Gardens,MCGM Garden Oshiwara is a public park located in the Oshiwara neighborhood of Mumbai Maharashtra India The park is managed by the Municipal Corporation of Greater Mumbai MCGM and is a popular spot for jogging walking and recreational activities The park features a variety of trees and plants benches a childrens play area a walking track and an openair gym The park also hosts cultural events and activities throughout the year including music concerts and sports tournaments,Mumbai,1.0,"""The temple was built about 300 years ago and the structure has become dilapidated. With funds raised in the town of Kolfe, various restoration and reconstruction of the old structure was carried out in 1986, and the temple is open from 6am to 7pm.""",3.5//5,https://us.trip.com/travel-guide/attraction/mumbai/mcgm-garden-oshiwara-23032970/,['']
Gaumukh Waterfalls,Waterfalls,Deep inside Dang jungle this temple and waterfall lies in remote place on the border of gujarat and maharashtraThis hidden gem like place is around 15 km from Songadh towards mahal in south gujaratThere is one small temple having Gaumukh and one small seasonal waterfall nearbyPlace is good for picnic There are few shop are available for tea and snacks,Hirafali,1.0,"""The temples are ordinary, but there are many local believers.""",3//5,https://us.trip.com/travel-guide/attraction/hirafali/gaumukh-waterfalls-61136851/,['']
Thane Creek Flamingo Sanctuary,Historical Sites,Thane Creek or Thana Creek is an inlet in the shoreline of the Arabian Sea that isolates the city of Mumbai Bombay from the Konkan region of the Indian mainland It comprises the area between Mumbra Retibunder and the MankhurdVashi Bridge The creek is divided into two parts The first part lies between Ghodbunder and Thane Thana a section from where the Ulhas river flows from the north of Mumbai Island to meet the Arabian Sea on the west The second part of the waterway lies between the city of Thane and the Arabian Sea at Trombay  Uran before the Gharapuri islands Thane Creek was formed due to a seismic fault lying below it which runs from Uran to Thane,Mumbai,1.1,"""The temples of popularity, religion is really spiritual.""",3//5,https://us.trip.com/travel-guide/attraction/mumbai/thane-creek-flamingo-sanctuary-55828494/,['']
